,Accuracy,Precision,Recall,F1,ROC_AUC,MCC
LR,0.005436481930998738,0.0070171341710146265,0.00998781302854022,0.005879439580705627,0.0027895941592601162,0.01100627529870171
RF,0.0038537001938849136,0.006185750461604611,0.004557395631041713,0.00397216007349346,0.0009191796573142199,0.007714653962526122
GBDT,0.0035434424451618834,0.006767431771847275,0.003346061732026317,0.004101904404945832,0.0007709657382526912,0.007141655931194559
SVM,0.004015848466087914,0.00511327770423265,0.006052886680158088,0.00469696435407054,0.0017015186230263338,0.00813032383356963
XGB,0.0038449229058927035,0.007847891149879061,0.003277947143575578,0.004377430158953745,0.0007798933174538927,0.007707602428728179
