,Accuracy,Precision,Recall,F1,ROC_AUC,MCC
LR,0.887052662418516,0.8773674185615639,0.8995658461250546,0.8879234132073786,0.9465545831303734,0.7743069109657796
RF,0.962080128909397,0.954243929110089,0.9702817954086231,0.9620631028277866,0.9930358849861998,0.9242064259760758
GBDT,0.969392807441588,0.9665082060186091,0.9717278247806526,0.9690005286641703,0.9959954806742344,0.9387181014727692
SVM,0.9580209477770453,0.9480204297681819,0.9682066482577805,0.957917665124693,0.9922002477268054,0.915960726517922
XGB,0.9680407236504797,0.966026014741522,0.9695949952551771,0.9676438595673419,0.9955684813694914,0.9360939693878294
