,Accuracy,Precision,Recall,F1,ROC_AUC,MCC
LR,0.8980030721966206,0.881129493883661,0.9201246700272163,0.8999796044127917,0.9634018826588129,0.796790179330071
SVM,0.9905798046546677,0.9989660699973284,0.982387987555771,0.9905814306389178,0.9974959934291231,0.9813002886143846
RF,0.9636698258122482,0.9386848965064571,0.9924389422162226,0.9647557778374599,0.9944943098291936,0.9287994587371682
GBDT,0.976049908703591,0.9593737524877308,0.9940064544728759,0.9763147183987126,0.9975599462344343,0.9527353459853103
XGB,0.974434107179086,0.9558729487769485,0.9945946897669936,0.9747929552600363,0.9947973656211418,0.9496280798352033
