,Accuracy,Precision,Recall,F1,ROC_AUC,MCC
LR,0.007800065110660855,0.00955930412601452,0.00865783715642146,0.007883666168838836,0.003955889417963423,0.015420288388738051
SVM,0.0020164390738647772,0.0006894276004592047,0.00355994153954139,0.001961526098726174,0.001018075538082719,0.00398225032828007
RF,0.0031893780320312558,0.005007415427853923,0.001625886947117967,0.002944394818412233,0.0012928890321499363,0.006142039232417416
GBDT,0.0031678515999923515,0.005305491524118701,0.0028072936612948325,0.003332434139954838,0.000873749698125423,0.006257245454749103
XGB,0.0027859492021413143,0.004753989302389427,0.002436113372890493,0.0029488837706992377,0.0014541994655932178,0.005477082464908452
