,Accuracy,Precision,Recall,F1,ROC_AUC,MCC
LR,0.9025816595658348,0.8808201469153538,0.9324953229512067,0.9055958461408368,0.9568014720145083,0.8067889586240163
SVM,0.9634046314813205,0.9608147604188586,0.966324810875081,0.9634629930917106,0.9748477644383706,0.9267830729505656
RF,0.9510274468886764,0.9381949769033598,0.9660666876260262,0.9518307155290439,0.9844446641270521,0.9023752822330003
GBDT,0.9555995130858186,0.9479050955253591,0.9642672706577547,0.9559759378163489,0.9888272589031434,0.9111435917158188
XGB,0.9515614584239053,0.947398223217512,0.9563256845475383,0.9518163991175091,0.9885078958652607,0.9029269396285284
