,Accuracy,Precision,Recall,F1,ROC_AUC,MCC
LR,0.008519088246392165,0.011128492046926187,0.007424090798079008,0.007889150542057776,0.004845136567496488,0.016605968593822962
SVM,0.004204153821232411,0.005699532089634945,0.005055377655914755,0.004300401306615323,0.004575986755005837,0.008439855401673524
RF,0.004136576278059351,0.0057362388980382,0.0040143251268011165,0.0038441259091105853,0.002503687561260893,0.008215512564733926
GBDT,0.005056815923494747,0.005998460773785466,0.004792066116187189,0.005033331682456626,0.0016684620379024883,0.010128459186651097
XGB,0.005795891845084906,0.006971770542725299,0.004743880331804276,0.005751471595384496,0.0015026890445116504,0.011624434493734157
