,Accuracy,Precision,Recall,F1,ROC_AUC,MCC
LR,0.004435236847722623,0.006390208701635864,0.0094510061055341,0.0055603046408843155,0.0027384022850749554,0.009275964672227561
RF,0.0037640420134362447,0.006179129504987094,0.004586068812035014,0.0038726196752668714,0.000919183076117655,0.00753978294488429
GBDT,0.00328277128532861,0.006829031166077829,0.0030472973349108014,0.0038876240778470796,0.000777797901501796,0.006609627973677444
SVM,0.0039160470071890295,0.004152960312634068,0.006328537748493708,0.004426015913617165,0.0017303267445449137,0.007931641160604162
XGB,0.003780235803760563,0.007043348524035816,0.004947064032740865,0.00452256442779575,0.0013633340473615183,0.007657026753677813
