,Accuracy,Precision,Recall,F1,ROC_AUC,MCC
LR,0.8854310407968944,0.8740842589374823,0.8997030194500274,0.886375041881367,0.9468020918561093,0.7708811747858098
RF,0.9615381234893429,0.9537169809429237,0.9697842829708122,0.9615426991645902,0.9930358690618531,0.9231385946552331
GBDT,0.968581996630777,0.9649468954107464,0.9716511832630481,0.9681657518722524,0.9959936647451114,0.9371229489617502
SVM,0.9607287775580458,0.9571074023292333,0.9639496770841415,0.9604295711397869,0.9920726507081206,0.9212060129271851
XGB,0.9615410532483704,0.9618964197289334,0.9603179087527046,0.9609493771784358,0.9933976679129642,0.9230273763302138
